date,type,amount
2021-07-02,CashOnHand,168161.75
2021-07-05,CashOnHand,168143.03
2021-07-05,CashOnHand,168087.81
2021-07-09,CashOnHand,168070.49
2021-07-12,CashOnHand,168046.81
2021-07-15,CashOnHand,166004.35
2021-07-15,CashOnHand,165797.18
2021-07-15,CashOnHand,162033.09
2021-07-16,CashOnHand,160711.79
2021-07-16,CashOnHand,159063.72
2021-07-19,CashOnHand,158956.62
2021-07-19,CashOnHand,158348.18
2021-07-19,CashOnHand,158956.62
2021-07-20,CashOnHand,158952.3
2021-07-20,CashOnHand,158743.3
2021-07-26,CashOnHand,158734.62
2021-07-27,CashOnHand,158670.36
2021-07-29,CashOnHand,158822.57
2021-08-01,CashOnHand,158172.57
2021-08-02,CashOnHand,158128.57
2021-08-02,CashOnHand,158082.57
2021-08-02,CashOnHand,158034.37
2021-08-02,CashOnHand,158041.37
2021-08-02,CashOnHand,158040.88
2021-08-02,CashOnHand,158040.88
2021-08-02,CashOnHand,158026.6
2021-08-03,CashOnHand,157784.6
2021-08-03,CashOnHand,157765.88
2021-08-04,CashOnHand,157707.74
2021-08-05,CashOnHand,107707.74
2021-08-05,CashOnHand,107684.06
2021-08-06,CashOnHand,157684.06
2021-08-09,CashOnHand,154569.8
2021-08-09,CashOnHand,154550.12
2021-08-09,CashOnHand,154444.52
2021-08-09,CashOnHand,154425.43
2021-08-09,CashOnHand,154408.07
2021-08-10,CashOnHand,154307.08
2021-08-15,CashOnHand,152264.62
2021-08-16,CashOnHand,152164.67
2021-08-16,CashOnHand,152110.27
2021-08-16,CashOnHand,152077.59
2021-08-18,CashOnHand,151952.59
2021-08-18,CashOnHand,148068.25
2021-08-18,CashOnHand,146333.26
2021-08-18,CashOnHand,145011.96
2021-08-20,CashOnHand,145007.59
2021-08-20,CashOnHand,144957.69
2021-08-23,CashOnHand,144956.89
2021-08-23,CashOnHand,144892.63
2021-08-23,CashOnHand,144812.47
2021-08-24,CashOnHand,145018.86
2021-08-25,CashOnHand,145010.14
2021-08-26,CashOnHand,142345.14
2021-09-01,CashOnHand,141695.14
2021-09-01,CashOnHand,141651.14
2021-09-01,CashOnHand,141605.14
2021-09-01,CashOnHand,136565.14
2021-09-01,CashOnHand,136642.14
2021-09-01,CashOnHand,136640.07
2021-09-02,CashOnHand,136591.55
2021-09-02,CashOnHand,136591.55
2021-09-02,CashOnHand,136577.27
2021-09-03,CashOnHand,103757.71
2021-09-03,CashOnHand,103738.99
2021-09-03,CashOnHand,103680.49
2021-09-07,CashOnHand,119430.49
2021-09-07,CashOnHand,177024.53
2021-09-07,CashOnHand,177000.85
2021-09-09,CashOnHand,176983.61
2021-09-10,CashOnHand,176475.36
2021-09-14,CashOnHand,176472.67
2021-09-15,CashOnHand,174430.21
2021-09-15,CashOnHand,174411.85
2021-09-15,CashOnHand,170527.51
2021-09-16,CashOnHand,170415.99
2021-09-17,CashOnHand,170312.24
2021-09-20,CashOnHand,170307.89
2021-09-20,CashOnHand,168572.9
2021-09-20,CashOnHand,167251.6
2021-09-22,CashOnHand,167187.34
2021-09-27,CashOnHand,167178.61
2021-09-27,CashOnHand,166914.85
2021-09-28,CashOnHand,166906.13
2021-09-30,CashOnHand,166847.24
2021-09-30,CashOnHand,166818.78
2021-10-01,CashOnHand,166168.78
2021-10-01,CashOnHand,166122.78
2021-10-01,CashOnHand,166078.78
2021-10-01,CashOnHand,166078.78
2021-10-01,CashOnHand,166064.5
2021-10-04,CashOnHand,166015.11
2021-10-04,CashOnHand,165996.39
2021-10-04,CashOnHand,165939.81
2021-10-07,CashOnHand,165916.13
2021-10-11,CashOnHand,165898.45
2021-10-12,CashOnHand,165885.82
2021-10-15,CashOnHand,163843.36
2021-10-15,CashOnHand,159959.02
2021-10-15,CashOnHand,159851.92
2021-10-25,CashOnHand,159663.15
2021-10-26,CashOnHand,159598.89
2021-10-28,CashOnHand,159590.09
2021-10-31,CashOnHand,159104.09
2021-11-01,CashOnHand,158454.09
2021-11-01,CashOnHand,158175.09
2021-11-01,CashOnHand,158175.09
2021-11-01,CashOnHand,158160.81
2021-11-02,CashOnHand,158116.81
2021-11-02,CashOnHand,158070.81
2021-11-02,CashOnHand,158030
2021-11-03,CashOnHand,157880
2021-11-03,CashOnHand,157859.87
2021-11-03,CashOnHand,157800.77
2021-11-05,CashOnHand,157777.09
2021-11-05,CashOnHand,157649.09
2021-11-08,CashOnHand,156323.16
2021-11-09,CashOnHand,156305.44
2021-11-10,CashOnHand,156103.92
2021-11-10,CashOnHand,156085.93
2021-11-15,CashOnHand,116085.93
2021-11-15,CashOnHand,114043.47
2021-11-15,CashOnHand,110159.13
2021-11-15,CashOnHand,108424.14
2021-11-15,CashOnHand,101879.14
2021-11-16,CashOnHand,141879.14
2021-11-17,CashOnHand,141839.98
2021-11-17,CashOnHand,140534.05
2021-11-17,CashOnHand,138799.06
2021-11-18,CashOnHand,138456.03
2021-11-18,CashOnHand,138420.92
2021-11-22,CashOnHand,138318.98
2021-11-22,CashOnHand,138254.72
2021-11-29,CashOnHand,138245.62
2021-11-30,CashOnHand,153995.62
2021-11-30,CashOnHand,214571.78
2021-12-01,CashOnHand,213921.78
2021-12-01,CashOnHand,213877.78
2021-12-01,CashOnHand,213831.78
2021-12-02,CashOnHand,213790.02
2021-12-02,CashOnHand,213790.02
2021-12-02,CashOnHand,213775.74
2021-12-03,CashOnHand,213754.94
2021-12-03,CashOnHand,213696.75
2021-12-03,CashOnHand,209531.75
2021-12-07,CashOnHand,209508.07
2021-12-07,CashOnHand,209383.79
